"","Player","Age","Pos","Tgt","Rec","Yds","X1D","YBC","YAC","ADOT","BrkTkl","Succ.","TD","YBC_R","YAC_R","Rec_Brk"
"263","Marquez Valdes-Scantling",30,"WR",44,19,411,14,268,143,17.4,1,40,4,14.1,7.5,19
"264","Marquez Valdes-Scantling",30,"WR",9,2,26,1,20,6,15.7,0,36.4,4,10,3,Inf
"265","Marquez Valdes-Scantling",30,"WR",9,2,26,1,20,6,15.7,0,22.2,0,10,3,Inf
"266","Marquez Valdes-Scantling",30,"WR",9,2,26,1,20,6,15.7,0,40,4,10,3,Inf
"267","Marquez Valdes-Scantling",30,"WR",35,17,385,13,248,137,17.8,1,36.4,4,14.6,8.1,17
"268","Marquez Valdes-Scantling",30,"WR",35,17,385,13,248,137,17.8,1,22.2,0,14.6,8.1,17
"269","Marquez Valdes-Scantling",30,"WR",35,17,385,13,248,137,17.8,1,40,4,14.6,8.1,17
"270","Ty Johnson",27,"RB",25,18,284,14,114,170,8.2,1,60,3,6.3,9.4,18
"271","Luke McCaffrey",23,"WR",24,18,168,8,71,97,7.1,1,50,0,3.9,5.4,18
"272","Jeremy Ruckert",24,"TE",28,18,105,6,21,84,3.4,0,42.9,0,1.2,4.7,Inf
"273","JuJu Smith-Schuster",28,"WR",26,18,231,11,76,155,5.6,4,53.8,2,4.2,8.6,4.5
"274","Jonathan Taylor",25,"RB",31,18,136,7,-14,150,-0.3,2,32.3,1,-0.8,8.3,9
"275","Ray Davis",25,"RB",19,17,189,8,25,164,0.8,0,63.2,3,1.5,9.6,Inf
"276","Kalif Raymond",30,"WR",22,17,215,10,78,137,8,0,59.1,2,4.6,8.1,Inf
"277","Nick Vannett",31,"TE",20,17,135,7,25,110,1.1,0,75,3,1.5,6.5,Inf
"278","Jonathan Mingo",23,"WR",42,17,167,6,100,67,10.5,1,28.6,0,5.9,3.9,17
"279","Jonathan Mingo",23,"WR",42,17,167,6,100,67,10.5,1,30.8,0,5.9,3.9,17
"280","Jonathan Mingo",23,"WR",42,17,167,6,100,67,10.5,1,25,0,5.9,3.9,17
"281","Jonathan Mingo",23,"WR",26,12,121,4,57,64,8.7,1,28.6,0,4.8,5.3,12
"282","Jonathan Mingo",23,"WR",26,12,121,4,57,64,8.7,1,30.8,0,4.8,5.3,12
"283","Jonathan Mingo",23,"WR",26,12,121,4,57,64,8.7,1,25,0,4.8,5.3,12
"284","Jonathan Mingo",23,"WR",16,5,46,2,43,3,13.3,0,28.6,0,8.6,0.6,Inf
