"","Player","Age","Pos","Tgt","Rec","Yds","X1D","YBC","YAC","ADOT","BrkTkl","Succ.","TD","YBC_R","YAC_R","Rec_Brk"
"315","Brock Wright",26,"TE",16,13,100,7,25,75,5.1,1,68.8,2,1.9,5.8,13
"316","Josh Reynolds",29,"WR",24,13,194,8,159,35,11,0,45.8,1,12.2,2.7,Inf
"317","Josh Reynolds",29,"WR",24,13,194,8,159,35,11,0,57.9,1,12.2,2.7,Inf
"318","Josh Reynolds",29,"WR",24,13,194,8,159,35,11,0,0,0,12.2,2.7,Inf
"319","Josh Reynolds",29,"WR",19,12,183,8,148,35,11.4,0,45.8,1,12.3,2.9,Inf
"320","Josh Reynolds",29,"WR",19,12,183,8,148,35,11.4,0,57.9,1,12.3,2.9,Inf
"321","Josh Reynolds",29,"WR",19,12,183,8,148,35,11.4,0,0,0,12.3,2.9,Inf
"322","Josh Reynolds",29,"WR",5,1,11,0,11,0,9.6,0,45.8,1,11,0,Inf
"323","Josh Reynolds",29,"WR",5,1,11,0,11,0,9.6,0,57.9,1,11,0,Inf
"324","Josh Reynolds",29,"WR",5,1,11,0,11,0,9.6,0,0,0,11,0,Inf
"325","Mo Alie-Cox",31,"TE",22,12,147,7,98,49,9.6,0,54.5,1,8.2,4.1,Inf
"326","Jalen Brooks",24,"WR",30,12,177,8,140,37,13.5,1,33.3,1,11.7,3.1,12
"327","Ezekiel Elliott",29,"RB",15,12,69,3,-28,97,-1.8,1,46.7,0,-2.3,8.1,12
"328","Luke Farrell",27,"TE",17,12,67,4,37,30,4.8,1,52.9,0,3.1,2.5,12
"329","Mecole Hardman",26,"WR",14,12,90,6,-9,99,-1,0,57.1,0,-0.8,8.2,Inf
"330","Julian Hill",24,"TE",19,12,100,5,42,58,6.3,3,52.6,0,3.5,4.8,4
"331","Xavier Hutchinson",24,"WR",26,12,117,6,80,37,9.7,0,34.6,0,6.7,3.1,Inf
"332","D'Ernest Johnson",28,"RB",19,12,96,3,-5,101,0.4,0,26.3,0,-0.4,8.4,Inf
"333","Hunter Luepke",24,"RB",16,12,111,5,27,84,2.4,0,50,0,2.2,7,Inf
"334","Ryan Miller",24,"WR",20,12,128,7,73,55,8.8,0,45,2,6.1,4.6,Inf
"335","Jordan Mims",25,"RB",18,12,71,4,-9,80,0.2,1,22.2,0,-0.8,6.7,12
"336","Isiah Pacheco",25,"RB",16,12,79,4,-40,119,-1.4,1,37.5,0,-3.3,9.9,12
"337","Trey Palmer",23,"WR",22,12,172,7,130,42,14.5,0,40.9,1,10.8,3.5,Inf
"338","Cordarrelle Patterson",33,"RB",14,12,80,5,24,56,3,1,50,1,2,4.7,12
"339","Dante Pettis",29,"WR",28,12,120,8,84,36,10.1,2,35.7,1,7,3,6
"340","Ja'Lynn Polk",22,"WR",33,12,87,4,74,13,11.5,0,24.2,2,6.2,1.1,Inf
"341","Kevin Austin",24,"WR",22,11,151,10,114,37,11.6,0,45.5,0,10.4,3.4,Inf
"342","Chris Brooks",24,"RB",13,11,69,2,-26,95,-1.7,1,46.2,0,-2.4,8.6,11
"343","Michael Carter",25,"RB",11,11,57,2,-16,73,-1.5,2,63.6,0,-1.5,6.6,5.5
"344","Payne Durham",24,"TE",14,11,115,5,91,24,8.9,0,71.4,2,8.3,2.2,Inf
"345","Devin Duvernay",27,"WR",16,11,79,7,16,63,11.4,0,50,0,1.5,5.7,Inf
"346","Tyler Goodson",24,"RB",15,11,61,3,-6,67,1.3,2,33.3,1,-0.5,6.1,5.5
"347","Jordan Mason",25,"RB",14,11,91,5,32,59,3.7,1,64.3,0,2.9,5.4,11
"348","Eric Saubert",30,"TE",14,11,97,5,62,35,5.2,0,57.1,1,5.6,3.2,Inf
"349","Tylan Wallace",25,"WR",12,11,193,5,65,128,6.1,1,66.7,1,5.9,11.6,11
"350","Emanuel Wilson",25,"RB",14,11,48,3,-51,99,-4.5,1,21.4,1,-4.6,9,11
"351","Ryan Flournoy",25,"WR",14,10,102,5,68,34,8.2,0,57.1,0,6.8,3.4,Inf
"352","Eric Gray",25,"RB",11,10,82,3,-21,103,-2,1,54.5,0,-2.1,10.3,10
"353","Jamycal Hasty",28,"RB",12,10,59,2,-13,72,-1.3,1,41.7,1,-1.3,7.2,10
"354","Malik Heath",24,"WR",13,10,97,5,74,23,6.5,0,69.2,2,7.4,2.3,Inf
"355","Khalil Herbert",26,"RB",11,10,25,0,-19,44,-2.1,0,27.3,0,-1.9,4.4,Inf
"356","Khalil Herbert",26,"RB",11,10,25,0,-19,44,-2.1,0,0,0,-1.9,4.4,Inf
"357","Khalil Herbert",26,"RB",11,10,25,0,-19,44,-2.1,0,33.3,0,-1.9,4.4,Inf
"358","Khalil Herbert",26,"RB",2,2,4,0,-2,6,-1,0,27.3,0,-1,3,Inf
"359","Khalil Herbert",26,"RB",2,2,4,0,-2,6,-1,0,0,0,-1,3,Inf
"360","Khalil Herbert",26,"RB",2,2,4,0,-2,6,-1,0,33.3,0,-1,3,Inf
"361","Khalil Herbert",26,"RB",9,8,21,0,-17,38,-2.3,0,27.3,0,-2.1,4.8,Inf
"362","Khalil Herbert",26,"RB",9,8,21,0,-17,38,-2.3,0,0,0,-2.1,4.8,Inf
"363","Khalil Herbert",26,"RB",9,8,21,0,-17,38,-2.3,0,33.3,0,-2.1,4.8,Inf
"364","Odell Beckham Jr.",32,"WR",18,9,55,3,41,14,7.6,0,27.8,0,4.6,1.6,Inf
"365","Marquise Brown",27,"WR",15,9,91,5,45,46,8.2,0,40,0,5,5.1,Inf
"366","Harrison Bryant",26,"TE",12,9,86,5,15,71,3.4,2,66.7,0,1.7,7.9,4.5
"367","DeAndre Carter",31,"WR",14,9,72,3,40,32,11.1,2,35.7,0,4.4,3.6,4.5
"368","Jamison Crowder",31,"WR",13,9,72,4,61,11,8.3,0,38.5,2,6.8,1.2,Inf
"369","Isaiah Davis",22,"RB",12,9,75,4,0,75,1.3,0,41.7,1,0,8.3,Inf
"370","Rakim Jarrett",23,"WR",11,9,124,5,106,18,11.5,0,72.7,0,11.8,2,Inf
"371","Charlie Kolar",25,"TE",11,9,131,4,55,76,6,0,72.7,1,6.1,8.4,Inf
"372","Jeremy McNichols",29,"RB",12,9,27,1,-6,33,1.6,0,25,0,-0.7,3.7,Inf
"373","Bub Means",23,"WR",15,9,118,7,98,20,11.3,0,53.3,1,10.9,2.2,Inf
"374","Andrew Ogletree",26,"TE",14,9,109,6,59,50,10.7,0,42.9,1,6.6,5.6,Inf
"375","Durham Smythe",29,"TE",17,9,53,1,37,16,5.5,0,35.3,0,4.1,1.8,Inf
"376","Brevyn Spann-Ford",25,"TE",14,9,88,6,35,53,5.9,0,57.1,0,3.9,5.9,Inf
"377","Sean Tucker",23,"RB",12,9,109,6,4,105,0.6,1,75,1,0.4,11.7,9
"378","Jamaal Williams",29,"RB",11,9,57,3,4,53,-1.3,0,54.5,0,0.4,5.9,Inf
"379","John Bates",27,"TE",13,8,84,3,35,49,4.8,1,53.8,0,4.4,6.1,8
"380","Pharaoh Brown",30,"TE",12,8,65,2,35,30,4.2,1,41.7,0,4.4,3.8,8
"381","Gerald Everett",30,"TE",13,8,36,1,-5,41,2.8,2,23.1,0,-0.6,5.1,4
"382","Tyler Higbee",31,"TE",12,8,66,5,18,48,2.2,0,58.3,2,2.2,6,Inf
"383","Hayden Hurst",31,"TE",13,8,73,2,53,20,4.8,0,38.5,0,6.6,2.5,Inf
"384","Jalin Hyatt",23,"WR",19,8,62,3,56,6,19.1,0,31.6,0,7,0.8,Inf
"385","Zay Jones",29,"WR",11,8,84,5,65,19,8.6,0,63.6,0,8.1,2.4,Inf
"386","Bo Melton",25,"WR",17,8,91,5,84,7,17.8,0,41.2,0,10.5,0.9,Inf
"387","Trent Sherfield",28,"WR",9,8,83,4,43,40,6,0,88.9,1,5.4,5,Inf
"388","Tank Bigsby",23,"RB",12,7,54,1,-10,64,-1.1,1,25,0,-1.4,9.1,7
"389","Blake Corum",24,"RB",8,7,58,5,-7,65,-0.6,1,87.5,0,-1,9.3,7
"390","Britain Covey",27,"WR",8,7,34,2,6,28,1.1,0,37.5,0,0.9,4,Inf
"391","River Cracraft",30,"WR",9,7,66,4,55,11,7.9,0,55.6,0,7.9,1.6,Inf
"392","Tucker Fisk",25,"TE",8,7,39,1,18,21,2.5,0,62.5,0,2.6,3,Inf
"393","KhaDarel Hodge",29,"WR",12,7,131,6,42,89,10.8,0,50,1,6,12.7,Inf
"394","Hunter Long",26,"TE",9,7,60,2,30,30,3.4,0,77.8,0,4.3,4.3,Inf
"395","Luke Musgrave",24,"TE",10,7,45,2,27,18,6.6,0,30,0,3.9,2.6,Inf
"396","K.J. Osborn",27,"WR",18,7,57,2,41,16,5.9,0,27.8,1,5.9,2.3,Inf
"397","Brandon Powell",29,"WR",10,7,71,5,59,12,10.1,0,50,0,8.4,1.7,Inf
"398","Jalen Reagor",25,"WR",12,7,100,3,74,26,10.3,0,33.3,0,10.6,3.7,Inf
"399","Ainias Smith",23,"WR",9,7,41,1,18,23,1.3,0,33.3,1,2.6,3.3,Inf
"400","Carson Steele",22,"RB",11,7,26,0,-17,43,-1.5,3,18.2,0,-2.4,6.1,2.3
"401","Charlie Woerner",27,"TE",12,7,46,3,25,21,2.9,0,33.3,0,3.6,3,Inf
"402","Michael Woods II",24,"WR",17,7,65,4,30,35,11,1,29.4,0,4.3,5,7
"403","Davis Allen",23,"TE",13,6,39,2,18,21,3.8,0,38.5,0,3,3.5,Inf
"404","Trey Benson",21,"RB",6,6,59,3,-19,78,-3.2,2,100,0,-3.2,13,3
"405","Parris Campbell",27,"WR",8,6,30,1,21,9,4.3,0,50,1,3.5,1.5,Inf
"406","Ty Chandler",26,"RB",6,6,42,2,-11,53,-1.8,0,66.7,0,-1.8,8.8,Inf
"407","Chris Conley",32,"WR",12,6,76,3,57,19,17.4,0,50,0,9.5,3.2,Inf
"408","Simi Fehoko",27,"WR",16,6,106,6,90,16,14.8,0,37.5,0,15,2.7,Inf
"409","D'Onta Foreman",28,"RB",8,6,54,1,6,48,0.9,1,37.5,0,1,8,6
"410","Xavier Gipson",23,"WR",10,6,39,3,17,22,11.2,0,30,1,2.8,3.7,Inf
"411","Connor Heyward",25,"TE",8,6,40,3,33,7,8.4,0,62.5,1,5.5,1.2,Inf
"412","Sincere McCormick",24,"RB",7,6,29,2,0,29,0.4,0,42.9,0,0,4.8,Inf
"413","Bryce Oliver",24,"WR",9,6,95,4,69,26,10.6,0,66.7,0,11.5,4.3,Inf
"414","MyCole Pruitt",32,"TE",10,6,40,2,24,16,2.7,0,40,1,4,2.7,Inf
"415","Tip Reiman",23,"TE",7,6,37,1,8,29,1.7,1,57.1,0,1.3,4.8,6
"416","Zamir White",25,"RB",8,6,30,2,-20,50,-3.1,2,25,0,-3.3,8.3,3
"417","Blake Whiteheart",24,"TE",9,6,51,2,41,10,9,0,55.6,1,6.8,1.7,Inf
"418","Nick Chubb",29,"RB",11,5,31,3,0,31,-0.5,0,27.3,1,0,6.2,Inf
"419","Devin Culp",24,"TE",6,5,88,4,57,31,12.2,0,66.7,0,11.4,6.2,Inf
"420","Greg Dulcich",24,"TE",12,5,28,0,13,15,5.9,0,8.3,0,2.6,3,Inf
"421","Audric Estime",21,"RB",5,5,27,2,-10,37,-2,0,40,0,-2,7.4,Inf
"422","Cam Grandy",24,"TE",5,5,28,1,12,16,2.4,0,60,0,2.4,3.2,Inf
"423","Peyton Hendershot",25,"TE",5,5,51,2,19,32,3.8,0,80,0,3.8,6.4,Inf
"424","Kendre Miller",22,"RB",8,5,33,2,0,33,0.4,0,37.5,0,0,6.6,Inf
"425","Scott Miller",27,"WR",9,5,69,2,36,33,11.8,1,55.6,0,7.2,6.6,5
"426","Quintin Morris",25,"TE",8,5,36,3,14,22,9.3,0,50,1,2.8,4.4,Inf
"427","Ronnie Rivers",25,"RB",6,5,34,1,-24,58,-4.3,0,50,0,-4.8,11.6,Inf
"428","Laviska Shenault Jr.",26,"WR",5,5,36,2,-10,46,-2,0,60,0,-2,9.2,Inf
"429","Ben Sinnott",22,"TE",5,5,28,2,9,19,1.8,0,40,1,1.8,3.8,Inf
"430","Ben Skowronek",27,"WR",5,5,69,4,40,29,8,0,80,0,8,5.8,Inf
"431","Kimani Vidal",23,"RB",9,5,62,2,25,37,5.3,0,33.3,1,5,7.4,Inf
"432","Johnny Wilson",23,"WR",15,5,38,3,23,15,9.8,0,26.7,1,4.6,3,Inf
"433","Kenny Yeboah",26,"TE",8,5,47,3,13,34,4.6,0,62.5,1,2.6,6.8,Inf
"434","Treylon Burks",24,"WR",8,4,34,3,29,5,16.9,1,37.5,0,7.2,1.2,4
"435","Jermaine Burton",23,"WR",14,4,107,4,85,22,21.1,0,28.6,0,21.2,5.5,Inf
"436","DJ Chark",28,"WR",10,4,31,1,24,7,11.5,0,30,1,6,1.8,Inf
"437","Jacob Cowing",23,"WR",6,4,80,3,54,26,12.7,0,66.7,0,13.5,6.5,Inf
"438","Will Mallory",25,"TE",8,4,29,1,25,4,8.6,1,12.5,0,6.2,1,4
"439","Will Shipley",22,"RB",4,4,35,2,7,28,1.8,0,75,0,1.8,7,Inf
"440","Ben Sims",24,"TE",5,4,42,1,26,16,8,0,60,0,6.5,4,Inf
"441","Deven Thompkins",25,"WR",4,4,20,2,-8,28,-2,0,50,0,-2,7,Inf
"442","Tyquan Thornton",24,"WR",8,4,47,2,23,24,15.8,1,37.5,0,5.8,6,4
"443","Alex Bachman",28,"WR",3,3,31,2,21,10,7,0,66.7,0,7,3.3,Inf
"444","Tyler Badie",24,"RB",3,3,-2,0,-6,4,-2,0,0,0,-2,1.3,Inf
"445","David Bell",24,"WR",3,3,27,1,19,8,6.3,0,33.3,0,6.3,2.7,Inf
"446","Jonathon Brooks",21,"RB",3,3,23,2,-8,31,-2.7,0,66.7,0,-2.7,10.3,Inf
"447","Dan Chisena",27,"WR",4,3,37,2,28,9,7.5,0,75,0,9.3,3,Inf
"448","Tanner Conner",26,"TE",4,3,16,1,11,5,11.5,0,50,0,3.7,1.7,Inf
"449","Malachi Corley",22,"WR",6,3,16,1,11,5,8.3,0,33.3,0,3.7,1.7,Inf
"450","DeeJay Dallas",26,"RB",3,3,11,1,-9,20,-3,0,33.3,1,-3,6.7,Inf
"451","Josiah Deguara",27,"TE",3,3,14,0,2,12,0.7,0,0,0,0.7,4,Inf
"452","Gus Edwards",29,"RB",5,3,6,0,-5,11,-3,0,0,0,-1.7,3.7,Inf
"453","Clyde Edwards-Helaire",25,"RB",5,3,24,1,-11,35,-0.8,1,20,0,-3.7,11.7,3
"454","D'Wayne Eskridge",27,"WR",3,3,44,2,15,29,5,0,66.7,0,5,9.7,Inf
"455","Hassan Haskins",25,"RB",3,3,49,2,7,42,2.3,0,100,1,2.3,14,Inf
"456","Dallin Holker",24,"TE",4,3,21,1,8,13,9,0,25,0,2.7,4.3,Inf
"457","Travis Homer",26,"RB",3,3,11,0,1,10,0.3,0,33.3,0,0.3,3.3,Inf
"458","Trenton Irwin",29,"WR",10,3,15,1,11,4,6.2,0,30,0,3.7,1.3,Inf
"459","Tim Jones",26,"WR",5,3,41,3,24,17,8,0,60,0,8,5.7,Inf
"460","Chris Manhertz",32,"TE",4,3,30,2,11,19,3.8,0,75,1,3.7,6.3,Inf
"461","Terrace Marshall Jr.",24,"WR",6,3,41,1,37,4,8.7,0,50,0,12.3,1.3,Inf
"462","Kenny McIntosh",24,"RB",4,3,22,1,5,17,1.3,0,50,0,1.7,5.7,Inf
"463","James Proche",28,"WR",3,3,21,1,17,4,5.7,1,66.7,0,5.7,1.3,3
"464","Craig Reynolds",28,"RB",5,3,40,2,-2,42,-2,0,60,0,-0.7,14,Inf
"465","Allen Robinson",31,"WR",7,3,30,3,26,4,7.3,0,42.9,0,8.7,1.3,Inf
"466","Patrick Taylor",26,"RB",11,3,25,2,6,19,3.1,0,18.2,0,2,6.3,Inf
"467","Ian Thomas",28,"TE",6,3,7,1,1,6,4.2,0,16.7,0,0.3,2,Inf
"468","Jamari Thrash",24,"WR",7,3,22,2,8,14,7.3,0,28.6,0,2.7,4.7,Inf
"469","Sione Vaki",23,"RB",3,3,37,2,17,20,5.7,0,100,0,5.7,6.7,Inf
"470","Deuce Vaughn",23,"RB",5,3,18,0,5,13,0,1,20,0,1.7,4.3,3
"471","Jeff Wilson",29,"RB",3,3,19,0,0,19,0,0,100,0,0,6.3,Inf
"472","Jaylen Wright",21,"RB",6,3,8,1,0,8,-1,1,16.7,0,0,2.7,3
"473","Jaheim Bell",23,"TE",3,2,20,1,15,5,7.7,0,33.3,0,7.5,2.5,Inf
"474","Ronnie Bell",24,"WR",6,2,22,2,20,2,10.8,0,33.3,0,10,1,Inf
"475","Julius Chestnut",24,"RB",3,2,11,0,-3,14,0.3,0,33.3,0,-1.5,7,Inf
"476","Grant Dubose",23,"WR",4,2,11,1,8,3,11.8,0,25,0,4,1.5,Inf
"477","Ashton Dulin",27,"WR",8,2,67,2,24,43,19.3,1,25,1,12,21.5,2
"478","Isaiah Hodgins",26,"WR",2,2,12,0,11,1,5.5,0,100,0,5.5,0.5,Inf
"479","Brevin Jordan",24,"TE",3,2,7,1,4,3,0.3,0,33.3,0,2,1.5,Inf
"480","Mason Kinsey",26,"WR",2,2,17,1,17,0,8.5,0,100,0,8.5,0,Inf
"481","Dameon Pierce",24,"RB",4,2,2,0,-3,5,-1.3,1,0,0,-1.5,2.5,2
"482","Nikko Remigio",25,"WR",6,2,48,2,34,14,10.7,0,33.3,0,17,7,Inf
"483","Xavier Smith",27,"WR",2,2,6,1,1,5,0.5,0,50,0,0.5,2.5,Inf
"484","Jack Stoll",26,"TE",3,2,10,0,8,2,4,0,33.3,0,4,1,Inf
"485","J.J. Taylor",26,"RB",3,2,0,0,-1,1,-2,0,0,0,-0.5,0.5,Inf
"486","Eric Tomlinson",32,"TE",4,2,9,0,-3,12,2,1,0,0,-1.5,6,2
"487","Austin Trammell",26,"WR",3,2,40,2,31,9,14.7,0,66.7,0,15.5,4.5,Inf
"488","Cody White",26,"WR",3,2,44,2,31,13,13.3,0,66.7,0,15.5,6.5,Inf
"489","Kristian Wilkerson",27,"WR",3,2,18,2,7,11,5.3,0,66.7,1,3.5,5.5,Inf
"490","Isaiah Williams",23,"WR",3,2,6,0,-1,7,5,2,0,0,-0.5,3.5,1
"491","Javon Baker",22,"WR",4,1,12,1,12,0,12.5,0,25,0,12,0,Inf
"492","Chris Blair",27,"WR",2,1,17,1,17,0,18.5,0,50,0,17,0,Inf
"493","Mike Boone",29,"RB",3,1,-2,0,-4,2,-4.7,0,0,0,-4,2,Inf
"494","Robbie Chosen",31,"WR",4,1,5,0,4,1,11.8,0,0,0,4,1,Inf
"495","Chris Collier",24,"RB",2,1,-4,0,-5,1,-2.5,0,0,0,-5,1,Inf
"496","Dalvin Cook",29,"RB",1,1,10,1,3,7,3,0,100,0,3,7,Inf
"497","Jaelon Darden",25,"WR",1,1,6,1,-3,9,-3,0,100,0,-3,9,Inf
"498","Zach Davidson",26,"TE",2,1,5,0,3,2,1.5,0,50,0,3,2,Inf
"499","Ross Dwelley",29,"TE",1,1,5,0,1,4,1,0,100,0,1,4,Inf
"500","John FitzPatrick",24,"TE",1,1,2,0,2,0,2,0,0,0,2,0,Inf
"501","Jody Fortson",29,"TE",3,1,5,1,3,2,1.3,0,33.3,0,3,2,Inf
"502","Feleipe Franks",27,"TE",3,1,12,1,12,0,16.3,0,33.3,0,12,0,Inf
"503","Myles Gaskin",27,"RB",1,1,11,0,-2,13,-2,0,100,0,-2,13,Inf
"504","Anthony Gould",23,"WR",1,1,23,1,18,5,18,0,100,0,18,5,Inf
"505","George Holani",25,"RB",1,1,-1,0,-1,0,-1,0,0,0,-1,0,Inf
"506","Jha'Quan Jackson",24,"WR",3,1,8,1,6,2,26,0,33.3,0,6,2,Inf
"507","Jermar Jefferson",24,"RB",1,1,10,1,0,10,0,0,100,0,0,10,Inf
"508","E.J. Jenkins",26,"TE",2,1,7,1,4,3,4.5,0,50,1,4,3,Inf
"509","Brandon Johnson",26,"WR",1,1,9,0,5,4,5,0,100,0,5,4,Inf
"510","Collin Johnson",27,"WR",2,1,6,1,3,3,8,0,50,0,3,3,Inf
"511","Charlie Jones",26,"WR",1,1,5,0,5,0,5,0,100,0,5,0,Inf
"512","Velus Jones Jr.",27,"WR",1,1,8,0,-5,13,-5,0,100,0,-5,13,Inf
"513","Velus Jones Jr.",27,"WR",1,1,8,0,-5,13,-5,0,100,0,-5,13,Inf
"514","Velus Jones Jr.",27,"WR",1,1,8,0,-5,13,-5,0,NA,0,-5,13,Inf
"515","Ramel Keyton",24,"WR",3,1,7,1,7,0,10,0,33.3,0,7,0,Inf
"516","Jacob Kibodi",26,"RB",3,1,15,1,4,11,3,0,33.3,0,4,11,Inf
"517","Marcedes Lewis",40,"TE",2,1,2,1,1,1,7,0,50,0,1,1,Inf
"518","MarShawn Lloyd",23,"RB",1,1,3,0,-5,8,-5,0,0,0,-5,8,Inf
"519","Tay Martin",27,"WR",2,1,49,1,44,5,31.5,0,50,1,44,5,Inf
"520","David Martin-Robinson",25,"TE",2,1,6,1,0,6,0,0,50,0,0,6,Inf
"521","Anthony Miller",30,"WR",1,1,16,1,15,1,15,0,100,0,15,1,Inf
"522","Keaton Mitchell",22,"RB",1,1,28,1,-5,33,-5,0,100,0,-5,33,Inf
"523","Kendric Pryor",26,"WR",1,1,9,0,9,0,9,0,100,0,9,0,Inf
"524","Chris Rodriguez",24,"RB",1,1,12,1,1,11,1,0,100,0,1,11,Inf
"525","John Ross",29,"WR",2,1,6,1,4,2,23.5,0,50,0,4,2,Inf
"526","Cody Schrader",25,"RB",1,1,6,0,0,6,0,0,100,0,0,6,Inf
"527","Tyler Scott",23,"WR",1,1,5,0,-2,7,-2,0,0,0,-2,7,Inf
"528","Tyrell Shavers",25,"WR",1,1,69,1,-2,71,-2,1,100,1,-2,71,1
"529","John Samuel Shenker",26,"TE",1,1,7,0,4,3,4,0,100,0,4,3,Inf
"530","Geoff Swaim",31,"TE",1,1,7,0,2,5,2,0,100,0,2,5,Inf
"531","Trent Taylor",30,"WR",1,1,11,0,9,2,9,0,100,0,9,2,Inf
"532","Brycen Tremayne",25,"WR",1,1,-2,0,-2,0,-2,0,0,0,-2,0,Inf
"533","Devontez Walker",23,"WR",3,1,21,1,21,0,28,0,33.3,1,21,0,Inf
"534","Casey Washington",23,"WR",2,1,14,1,3,11,18,0,50,0,3,11,Inf
"535","Blake Watson",25,"RB",2,1,13,0,-5,18,-2,0,50,0,-5,18,Inf
"536","Jared Wiley",24,"TE",1,1,7,0,4,3,4,0,0,0,4,3,Inf
"537","Shane Zylstra",28,"TE",1,1,22,1,9,13,9,0,100,0,9,13,Inf
"538","Rasheen Ali",23,"RB",2,0,0,0,0,0,-2.5,0,0,0,NA,NA,NA
"539","Brenden Bates",25,"TE",1,0,0,0,0,0,-2,0,0,0,NA,NA,NA
"540","Braxton Berrios",29,"WR",4,0,0,0,0,0,6.5,0,0,0,NA,NA,NA
"541","Irvin Charles",27,"WR",1,0,0,0,0,0,3,0,0,0,NA,NA,NA
"542","Baylor Cupp",24,"TE",1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"543","Erik Ezukanma",24,"WR",2,0,0,0,0,0,29.5,0,0,0,NA,NA,NA
"544","Terrell Jennings",23,"RB",1,0,0,0,0,0,29,0,0,0,NA,NA,NA
"545","Kameron Johnson",22,"WR",1,0,0,0,0,0,3,0,0,0,NA,NA,NA
"546","Tom Kennedy",28,"WR",1,0,0,0,0,0,11,0,0,0,NA,NA,NA
"547","Jordan Matthews",32,"TE",1,0,0,0,0,0,16,0,0,0,NA,NA,NA
"548","Skyy Moore",24,"WR",3,0,0,0,0,0,6,0,0,0,NA,NA,NA
"549","Justyn Ross",25,"WR",1,0,0,0,0,0,10,0,0,0,NA,NA,NA
"550","Stephen Sullivan",28,"TE",1,0,0,0,0,0,16,0,0,0,NA,NA,NA
"551","Kadarius Toney",25,"WR",1,0,0,0,0,0,-5,0,0,0,NA,NA,NA
"552","Xavier Weaver",24,"WR",2,0,0,0,0,0,19.5,0,0,0,NA,NA,NA
"553","Brayden Willis",25,"TE",2,0,0,0,0,0,5.5,0,0,0,NA,NA,NA
"554","Dareke Young",25,"WR",1,0,0,0,0,0,9,0,0,0,NA,NA,NA
